ISIN,TRADE_CODE,dt,value,currency
RU000A0JUG31,CBOM,2019-06-07,0.11,RUB
US29760G1031,ETLN,2017-11-17,0.04,USD
US7496552057,AGRO,2016-05-27,0.58,USD
US7496552057,AGRO,2016-09-23,0.23,USD
US7496552057,AGRO,2017-04-13,0.55,USD
US7496552057,AGRO,2017-09-14,0.23,USD
US7496552057,AGRO,2018-04-13,0.29,USD
US98387E2054,FIVE,2018-05-25,1.08,USD
RU0007252813,ALRS,2014-07-18,1.47,RUB
RU0007252813,ALRS,2015-07-15,1.47,RUB
RU0007252813,ALRS,2016-07-19,2.09,RUB
RU0007252813,ALRS,2017-07-20,8.93,RUB
RU0007252813,ALRS,2018-07-14,5.24,RUB
RU0007252813,ALRS,2018-10-15,5.93,RUB
RU0007252813,ALRS,2019-07-15,4.11,RUB
RU0007252813,ALRS,2019-10-14,3.84,RUB
RU0007252813,ALRS,2020-07-13,2.63,RUB
RU0007252813,ALRS,2021-07-04,9.54,RUB
RU0007252813,ALRS,2021-10-19,8.79,RUB
RU0007252813,ALRS,2023-10-18,3.77,RUB
RU0007252813,ALRS,2024-05-31,2.02,RUB
RU000A0JP5V6,VTBR,2014-07-01,0.0,RUB
RU000A0JP5V6,VTBR,2015-07-06,0.0,RUB
RU000A0JP5V6,VTBR,2016-07-04,0.0,RUB
RU000A0JP5V6,VTBR,2016-12-26,0.01,RUB
RU000A0JP5V6,VTBR,2017-05-10,0.0,RUB
RU000A0JP5V6,VTBR,2018-06-04,0.0,RUB
RU000A0JP5V6,VTBR,2019-06-24,0.00109867761463259,RUB
RU000A0JP5V6,VTBR,2020-10-05,0.00077345337561138,RUB
RU000A0JP5V6,VTBR,2021-06-22,1.73965919370917e-05,RUB
RU000A0JP5V6,VTBR,2021-07-15,1.73965919370917e-05,RUB
RU0009100945,BSPB,2018-06-04,1.62,RUB
RU000A0DQZE3,AFKS,2014-07-17,2.06,RUB
RU000A0DQZE3,AFKS,2015-07-16,0.47,RUB
RU000A0DQZE3,AFKS,2016-07-14,0.67,RUB
RU000A0DQZE3,AFKS,2016-10-07,0.38,RUB
RU000A0DQZE3,AFKS,2017-07-13,0.81,RUB
RU000A0DQZE3,AFKS,2017-12-08,0.68,RUB
RU000A0DQZE3,AFKS,2018-07-19,0.11,RUB
RU000A0DQZE3,AFKS,2019-07-18,0.11,RUB
RU000A0DQZE3,AFKS,2020-07-16,0.13,RUB
RU000A0DQZE3,AFKS,2021-07-15,0.31,RUB
RU000A0DQZE3,AFKS,2023-07-19,0.41,RUB
RU000A0DQZE3,AFKS,2024-07-17,0.52,RUB
RU0009062285,AFLT,2014-07-08,2.5,RUB
RU0009062285,AFLT,2017-07-14,17.48,RUB
RU0009062285,AFLT,2018-07-06,12.8053,RUB
RU0009062285,AFLT,2019-07-05,2.6877,RUB
RU0007661625,GAZP,2014-07-17,7.2,RUB
RU0007661625,GAZP,2015-07-16,7.2,RUB
RU0007661625,GAZP,2016-07-20,7.89,RUB
RU0007661625,GAZP,2017-07-20,8.04,RUB
RU0007661625,GAZP,2018-07-19,8.04,RUB
RU0007661625,GAZP,2019-07-18,16.61,RUB
RU0007661625,GAZP,2020-07-16,15.24,RUB
RU0007661625,GAZP,2021-07-15,12.55,RUB
RU0007661625,GAZP,2022-07-20,52.53,RUB
RU0007661625,GAZP,2022-10-11,51.03,RUB
RU0007288411,GMKN,2013-11-01,220.7,RUB
RU0007288411,GMKN,2014-06-17,248.48,RUB
RU0007288411,GMKN,2014-12-22,762.34,RUB
RU0007288411,GMKN,2015-05-25,670.04,RUB
RU0007288411,GMKN,2015-09-25,305.07,RUB
RU0007288411,GMKN,2015-12-30,321.95,RUB
RU0007288411,GMKN,2016-06-21,230.14,RUB
RU0007288411,GMKN,2016-12-28,444.25,RUB
RU0007288411,GMKN,2017-06-23,446.1,RUB
RU0007288411,GMKN,2017-10-19,224.2,RUB
RU0007288411,GMKN,2018-07-17,607.98,RUB
RU0007288411,GMKN,2018-10-01,776.02,RUB
RU0007288411,GMKN,2019-06-21,792.52,RUB
RU0007288411,GMKN,2019-10-07,883.93,RUB
RU0007288411,GMKN,2019-12-27,604.09,RUB
RU0007288411,GMKN,2020-05-25,557.2,RUB
RU0007288411,GMKN,2020-12-24,623.35,RUB
RU0007288411,GMKN,2021-06-01,1021.22,RUB
RU0007288411,GMKN,2022-01-14,1523.17,RUB
RU0007288411,GMKN,2022-06-14,1166.22,RUB
RU0007288411,GMKN,2023-12-26,915.33,RUB
RU000A0JPFP0,LSRG,2014-07-01,40.0,RUB
RU000A0JPFP0,LSRG,2015-04-18,78.0,RUB
RU000A0JPFP0,LSRG,2016-04-18,78.0,RUB
RU000A0JPFP0,LSRG,2017-06-20,40.0,RUB
RU000A0JPFP0,LSRG,2018-07-10,78.0,RUB
RU000A0JPNM1,IRAO,2015-06-09,0.0,RUB
RU000A0JPNM1,IRAO,2016-06-21,0.02,RUB
RU000A0JPNM1,IRAO,2017-06-20,0.15,RUB
RU000A0JPNM1,IRAO,2018-06-01,0.13,RUB
RU000A0JPNM1,IRAO,2019-05-31,0.171635536398468,RUB
RU000A0JPNM1,IRAO,2020-06-01,0.196192528735633,RUB
RU000A0JPNM1,IRAO,2021-06-07,0.180711206896552,RUB
RU000A0JPNM1,IRAO,2022-06-10,0.23658380041773,RUB
RU000A0JPNM1,IRAO,2023-05-30,0.28365531801897,RUB
RU000A0JPNM1,IRAO,2024-06-03,0.325999263608046,RUB
RU000A0JPGA0,MVID,2013-11-01,13.8,RUB
RU000A0JPGA0,MVID,2014-07-04,20.0,RUB
RU000A0JPGA0,MVID,2014-12-16,25.0,RUB
RU000A0JPGA0,MVID,2015-06-29,27.0,RUB
RU000A0JPGA0,MVID,2016-07-01,20.0,RUB
RU000A0JPGA0,MVID,2019-12-16,33.37,RUB
RU000A0JPGA0,MVID,2020-11-20,30.0,RUB
RU000A0JPGA0,MVID,2021-05-18,38.0,RUB
RU000A0JPGA0,MVID,2021-12-16,35.0,RUB
RU0009084396,MAGN,2014-12-23,0.58,RUB
RU0009084396,MAGN,2015-10-09,0.58,RUB
RU0009084396,MAGN,2016-06-07,0.31,RUB
RU0009084396,MAGN,2016-10-11,0.72,RUB
RU0009084396,MAGN,2017-06-06,1.24,RUB
RU0009084396,MAGN,2017-10-10,0.87,RUB
RU0009084396,MAGN,2017-12-19,1.11,RUB
RU0009084396,MAGN,2018-06-13,0.81,RUB
RU0009084396,MAGN,2018-06-25,0.8,RUB
RU0009084396,MAGN,2018-10-09,1.589,RUB
RU0009084396,MAGN,2018-12-18,2.114,RUB
RU0009084396,MAGN,2019-06-11,1.398,RUB
RU0009084396,MAGN,2019-06-20,1.488,RUB
RU0009084396,MAGN,2019-10-15,0.69,RUB
RU0009084396,MAGN,2020-01-15,1.65,RUB
RU0009084396,MAGN,2020-06-17,1.507,RUB
RU0009084396,MAGN,2020-09-23,0.607,RUB
RU0009084396,MAGN,2021-01-14,2.391,RUB
RU0009084396,MAGN,2021-06-17,0.945,RUB
RU0009084396,MAGN,2021-09-27,3.53,RUB
RU0009084396,MAGN,2022-01-13,2.663,RUB
RU0009084396,MAGN,2024-06-10,2.752,RUB
RU000A0DKXV5,MTLR,2019-07-18,0.0,RUB
RU000A0JPV70,MTLRP,2014-07-11,0.05,RUB
RU000A0JPV70,MTLRP,2015-07-11,0.05,RUB
RU000A0JPV70,MTLRP,2016-07-11,0.05,RUB
RU000A0JPV70,MTLRP,2017-07-11,5.14,RUB
RU000A0JPV70,MTLRP,2018-07-18,16.66,RUB
RU000A0JPV70,MTLRP,2019-07-18,18.21,RUB
RU000A0JPV70,MTLRP,2020-07-17,3.48,RUB
RU000A0JPV70,MTLRP,2021-07-13,1.17,RUB
RU0007775219,MTSS,2018-07-09,23.4,RUB
RU0007775219,MTSS,2018-10-09,2.6,RUB
RU0007775219,MTSS,2019-07-09,19.98,RUB
RU0007775219,MTSS,2019-10-14,8.68,RUB
RU0007775219,MTSS,2020-01-10,13.25,RUB
RU0007775219,MTSS,2020-07-09,20.57,RUB
RU0007775219,MTSS,2020-10-12,8.93,RUB
RU0007775219,MTSS,2021-07-08,26.51,RUB
RU0007775219,MTSS,2021-10-12,10.55,RUB
RU0007775219,MTSS,2022-07-12,33.85,RUB
RU0007775219,MTSS,2023-06-29,34.29,RUB
RU0007775219,MTSS,2024-07-16,35.0,RUB
RU0007775219,MTSS,2013-08-14,5.22,RUB
RU0007775219,MTSS,2014-07-07,18.6,RUB
RU0007775219,MTSS,2014-10-14,6.2,RUB
RU0007775219,MTSS,2015-07-07,19.56,RUB
RU0007775219,MTSS,2015-10-14,5.61,RUB
RU0007775219,MTSS,2016-07-05,14.01,RUB
RU0007775219,MTSS,2016-10-14,11.99,RUB
RU0007775219,MTSS,2017-07-10,15.6,RUB
RU0007775219,MTSS,2017-10-13,10.4,RUB
RU000A0JR4A1,MOEX,2014-07-11,2.38,RUB
RU000A0JR4A1,MOEX,2015-05-12,3.87,RUB
RU000A0JR4A1,MOEX,2016-05-16,7.11,RUB
RU000A0JR4A1,MOEX,2017-05-16,7.68,RUB
RU000A0JR4A1,MOEX,2017-09-29,2.49,RUB
RU000A0JR4A1,MOEX,2018-05-15,5.47,RUB
RU000A0JR4A1,MOEX,2019-05-14,7.7,RUB
RU000A0JR4A1,MOEX,2020-05-15,7.93,RUB
RU000A0JR4A1,MOEX,2021-05-14,9.45,RUB
RU000A0JR4A1,MOEX,2023-05-12,4.84,RUB
RU000A0JR4A1,MOEX,2023-06-16,4.84,RUB
RU000A0JR4A1,MOEX,2024-06-14,17.35,RUB
RU000A0JR4A1,MOEX,2111-01-01,17.35,RUB
RU0009024277,LKOH,2013-08-15,50.0,RUB
RU0009024277,LKOH,2014-07-15,60.0,RUB
RU0009024277,LKOH,2014-12-26,60.0,RUB
RU0009024277,LKOH,2015-04-28,94.0,RUB
RU0009024277,LKOH,2015-07-14,94.0,RUB
RU0009024277,LKOH,2015-07-17,94.0,RUB
RU0009024277,LKOH,2015-12-24,65.0,RUB
RU0009024277,LKOH,2016-07-12,112.0,RUB
RU0009024277,LKOH,2016-12-23,75.0,RUB
RU0009024277,LKOH,2017-07-10,120.0,RUB
RU0009024277,LKOH,2017-12-22,85.0,RUB
RU0009024277,LKOH,2018-07-11,130.0,RUB
RU0009024277,LKOH,2018-12-21,95.0,RUB
RU0009024277,LKOH,2019-07-09,155.0,RUB
RU0009024277,LKOH,2019-12-20,192.0,RUB
RU0009024277,LKOH,2020-07-10,350.0,RUB
RU0009024277,LKOH,2020-12-18,46.0,RUB
RU0009024277,LKOH,2021-07-05,213.0,RUB
RU0009024277,LKOH,2021-12-21,340.0,RUB
RU0009024277,LKOH,2022-12-21,537.0,RUB
RU0009024277,LKOH,2023-06-05,438.0,RUB
RU0009024277,LKOH,2023-12-17,447.0,RUB
RU0009024277,LKOH,2024-05-07,498.0,RUB
RU0009046452,NLMK,2014-06-17,0.67,RUB
RU0009046452,NLMK,2014-10-11,0.88,RUB
RU0009046452,NLMK,2015-06-16,1.64,RUB
RU0009046452,NLMK,2015-10-12,0.93,RUB
RU0009046452,NLMK,2016-01-08,1.95,RUB
RU0009046452,NLMK,2016-06-14,1.13,RUB
RU0009046452,NLMK,2016-10-12,1.08,RUB
RU0009046452,NLMK,2017-01-09,3.63,RUB
RU0009046452,NLMK,2017-06-14,2.35,RUB
RU0009046452,NLMK,2017-10-12,3.2,RUB
RU0009046452,NLMK,2018-01-09,5.13,RUB
RU0009046452,NLMK,2018-06-20,5.73,RUB
RU0009046452,NLMK,2018-10-12,5.24,RUB
RU0009046452,NLMK,2019-01-09,6.04,RUB
RU0009046452,NLMK,2019-05-06,5.8,RUB
RU0009046452,NLMK,2019-06-19,7.34,RUB
RU0009046452,NLMK,2019-10-10,3.68,RUB
RU0009046452,NLMK,2020-01-09,3.22,RUB
RU0009046452,NLMK,2020-05-06,5.16,RUB
RU0009046452,NLMK,2020-06-09,3.12,RUB
RU0009046452,NLMK,2020-07-13,3.21,RUB
RU0009046452,NLMK,2020-10-12,4.75,RUB
RU0009046452,NLMK,2020-12-29,6.43,RUB
RU0009046452,NLMK,2021-05-11,7.25,RUB
RU0009046452,NLMK,2021-06-23,7.71,RUB
RU0009046452,NLMK,2021-09-07,13.62,RUB
RU0009046452,NLMK,2021-12-07,13.33,RUB
RU0009046452,NLMK,2023-01-11,2.6,RUB
RU0009046452,NLMK,2024-05-27,25.43,RUB
RU000A0JP7J7,PIKK,2014-11-05,4.16,RUB
RU000A0JP7J7,PIKK,2018-09-04,22.71,RUB
RU000A0JP7J7,PIKK,2019-06-03,22.71,RUB
