,Акция,Сектор,Период,Выплата на акцию (прогноз),Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),"Капитализация, млн. руб.",DSI
0,Сургутнефтегаз-п,Нефть/Газ,годовые 2023,12.29,24.41%,50.35,18.07.2024,1 418 311.93,0.5
1,МКПАО ЮМГ (ЕМС),Разное,всего 12м,129.76,19.64%,660.6,,59 454.00,0.0
2,НЛМК,Металлы и добыча,всего 12м,31.4,18.35%,171.1,,1 025 441.18,0.07
3,Совкомфлот,Нефть/Газ,всего 12м,19.22,17.81%,107.91,,256 285.59,0.14
4,ОГК-2,Энергетика,годовые 2024,0.0811,17.66%,0.4594,10.07.2025,50 736.67,0.35
5,Магнит,Розничная торговля,всего 12м,989.86,16.72%,5919.5,,603 264.27,0.29
6,ЛУКОЙЛ,Нефть/Газ,всего 12м,1135.88,16.4%,6925.0,,4 798 095.40,1.0
7,Займер,Финансы и Банки,всего 12м,28.92,16.1%,179.7,,17 970.00,0.07
8,МТС,Телекомы,годовые 2024,37.93,15.76%,240.6,16.07.2025,549 029.86,0.57
9,МТС,Телекомы,всего 12м,37.93,15.76%,240.6,,549 029.86,0.57
10,Эталон,Строительство,годовые 2024,12.0,15.39%,77.96,08.07.2025,22 783.97,0.0
11,Башнефть-п,Нефть/Газ,годовые 2024,244.49,14.73%,1659.5,12.07.2025,438 786.93,0.64
12,Россети Центр и Приволжье (МРСК ЦП),Энергетика,всего 12м,0.0434,14.45%,0.3004,,33 854.42,0.29
13,Россети Центр и Приволжье (МРСК ЦП),Энергетика,годовые 2024,0.0434,14.45%,0.3004,28.06.2025,33 854.42,0.29
14,ММК,Металлы и добыча,всего 12м,7.55,14.16%,53.28,,595 424.17,0.07
15,Россети Московский регион (МОЭСК),Энергетика,всего 12м,0.1586,13.67%,1.16,,56 500.23,0.5
16,Россети Московский регион (МОЭСК),Энергетика,годовые 2024,0.1586,13.67%,1.16,05.07.2025,56 500.23,0.5
17,Татнефть-п,Нефть/Газ,всего 12м,88.15,13.6%,648.3,,1 530 515.46,0.71
18,Татнефть-ао,Нефть/Газ,всего 12м,88.15,13.38%,658.6,,1 530 515.46,0.71
19,ЛСР,Строительство,всего 12м,100.0,13.17%,759.2,,78 220.54,0.29
20,ЛСР,Строительство,годовые 2024,100.0,13.17%,759.2,02.05.2025,78 220.54,0.29
21,Россети Центр (МРСК Центра),Энергетика,всего 12м,0.0596,12.92%,0.4616,,53 342.23,0.29
22,Россети Центр (МРСК Центра),Энергетика,годовые 2024,0.0596,12.92%,0.4616,04.07.2025,53 342.23,0.29
23,МКПАО ЮМГ (ЕМС),Разное,годовые 2023,84.62,12.81%,660.6,27.09.2024,59 454.00,0.0
24,Транснефть-п,Нефть/Газ,годовые 2023,177.2,12.64%,1401.5,18.07.2024,217 915.73,0.64
25,Транснефть-п,Нефть/Газ,всего 12м,177.2,12.64%,1401.5,,217 915.73,0.64
26,Банк Санкт-Петербург (БСП),Финансы и Банки,всего 12м,47.31,12.64%,374.32,,172 356.30,0.71
27,Сбербанк-п,Финансы и Банки,годовые 2024,36.86,12.51%,294.75,11.07.2025,6 658 798.14,0.29
28,Сбербанк-ао,Финансы и Банки,годовые 2024,36.86,12.5%,294.81,11.07.2025,6 658 798.14,0.29
29,Роснефть,Нефть/Газ,всего 12м,64.34,12.11%,531.1,,5 628 692.24,0.71
30,Компании стабильных дивидендов,Разное,всего 12м,324.96,12.08%,1.0,,20 224 861.72,0.83
31,Инарктика (РусАква),Продовольствие,всего 12м,98.15,11.98%,819.5,,72 014.91,0.57
32,НоваБев Групп (Белуга Групп),Продовольствие,всего 12м,617.59,11.75%,5258.0,,83 076.40,0.57
33,IRDIV. Индекс дивидендных акций,Индексы,всего 12м,185.87,11.65%,1.0,,23 823 094.77,0.6
34,Газпром нефть,Нефть/Газ,всего 12м,81.1,11.49%,705.75,,3 346 172.22,0.71
35,Магнит,Розничная торговля,годовые 2024,659.4,11.14%,5919.5,15.07.2025,603 264.27,0.29
36,МТС-Банк,Финансы и Банки,годовые 2024,217.64,11.05%,1970.0,01.05.2025,68 219.25,0.0
37,Ренессанс Страхование,Финансы и Банки,всего 12м,9.97,10.97%,90.9,,50 627.01,0.14
38,Северсталь,Металлы и добыча,всего 12м,156.4,10.82%,1445.8,,1 211 173.64,0.07
39,НМТП,Логистика,годовые 2024,1.0,10.76%,9.29,10.07.2025,179 019.98,0.29
40,НМТП,Логистика,всего 12м,1.0,10.76%,9.29,,179 019.98,0.29
41,Компании LargeCap,Разное,всего 12м,4103.86,10.7%,1.0,,52 955 027.93,0.5
42,Русагро,Продовольствие,I полугодие 2024,147.03,10.69%,1375.4,10.09.2024,75 409.74,0.0
43,Русагро,Продовольствие,всего 12м,147.03,10.69%,1375.4,,75 409.74,0.0
44,Совкомфлот,Нефть/Газ,годовые 2023,11.27,10.44%,107.91,18.07.2024,256 285.59,0.14
45,Россети Ленэнерго-п,Энергетика,годовые 2024,21.42,10.26%,208.75,02.07.2025,166 418.98,0.5
46,Россети Ленэнерго-п,Энергетика,всего 12м,21.42,10.26%,208.75,,166 418.98,0.5
47,Норильский никель,Металлы и добыча,всего 12м,12.69,9.78%,129.76,,1 983 555.44,0.5
48,ЛУКОЙЛ,Нефть/Газ,годовые 2024,677.42,9.78%,6925.0,07.05.2025,4 798 095.40,1.0
49,НОВАТЭК,Нефть/Газ,всего 12м,105.12,9.75%,1078.6,,3 274 959.65,0.96
50,Русгидро,Энергетика,годовые 2024,0.0591,9.68%,0.61,12.07.2025,271 323.96,0.35
51,Индекс МосБиржи,Разное,всего 12м,225.49,9.53%,3051.76,,45 938 618.85,0.44
52,Интер РАО ЕЭС,Энергетика,годовые 2024,0.3685,9.5%,3.88,03.06.2025,405 072.00,0.64
53,Башнефть-ао,Нефть/Газ,годовые 2024,244.49,9.28%,2633.5,12.07.2025,438 786.93,0.29
54,ЕвроТранс,Нефть/Газ,годовые 2024,10.66,9.19%,116.0,09.07.2025,18 461.25,0.14
55,Евротранс,Нефть/Газ,всего 12м,10.66,9.19%,116.0,,18 461.25,0.14
56,Алроса,Металлы и добыча,всего 12м,5.72,9.05%,63.2,,465 465.83,0.29
57,ТМК,Металлы и добыча,всего 12м,16.25,8.95%,181.5,,187 514.07,0.5
58,Европлан,Финансы и Банки,годовые 2024,80.94,8.88%,911.8,11.06.2025,109 416.00,0.07
59,Фосагро,Химия,всего 12м,506.09,8.86%,5715.0,,740 092.50,0.5
60,IRGRO. Индекс акций роста РФ,Индексы,всего 12м,146.9,8.62%,1.0,,168 171.63,0.29
61,НКНХ-п,Химия,годовые 2024,6.16,8.58%,71.74,09.07.2025,167 329.08,0.5
62,НКНХ-п,Химия,всего 12м,6.16,8.58%,71.74,,167 329.08,0.5
63,Газпром нефть,Нефть/Газ,9 месяцев 2024,59.34,8.41%,705.75,27.12.2024,3 346 172.22,0.71
64,Черкизово,Продовольствие,всего 12м,384.93,8.36%,4602.0,,194 305.84,0.5
65,Московская биржа,Финансы и Банки,годовые 2024,18.67,8.13%,229.7,14.06.2025,522 889.41,0.29
66,Ростелеком-п,Телекомы,всего 12м,6.0,8.01%,74.95,,297 946.24,0.57
67,Ростелеком-п,Телекомы,годовые 2023,6.0,8.01%,74.95,07.10.2024,297 946.24,0.57
68,Башинформсвязь-ап,Телекомы,годовые 2024,0.8748,7.87%,11.11,12.07.2025,401.80,0.5
69,Диасофт,ПО и IT,всего 12м,400.62,7.78%,5152.5,,54 101.25,0.07
70,КазаньОргСинтез-ао,Химия,всего 12м,7.5,7.58%,98.9,,179 492.23,0.57
71,КазаньОргСинтез-ао,Химия,годовые 2024,7.5,7.58%,98.9,09.07.2025,179 492.23,0.57
72,Россети Урал (МРСК Урала),Энергетика,всего 12м,0.0329,7.44%,0.4428,,38 714.22,0.29
73,Россети Урал (МРСК Урала),Энергетика,годовые 2024,0.0329,7.44%,0.4428,14.06.2025,38 714.22,0.29
74,Совкомфлот,Нефть/Газ,9 месяцев 2024,7.95,7.37%,107.91,07.01.2025,256 285.59,0.14
75,Красноярскэнергосбыт-ао,Энергетика,годовые 2024,1.15,7.36%,15.64,10.06.2025,11 998.91,0.79
76,Красноярскэнергосбыт-ап,Энергетика,годовые 2024,1.16,7.29%,15.84,10.06.2025,11 998.91,0.79
77,Банк Санкт-Петербург (БСП),Финансы и Банки,годовые 2024,26.28,7.02%,374.32,06.05.2025,172 356.30,0.71
78,Ростелеком-ао,Телекомы,всего 12м,6.0,6.98%,85.97,,297 946.24,0.57
79,Ростелеком-ао,Телекомы,годовые 2023,6.0,6.98%,85.97,07.10.2024,297 946.24,0.57
80,МКПАО ЮМГ (ЕМС),Разное,I полугодие 2024,45.14,6.83%,660.6,15.12.2024,59 454.00,0.0
81,Мать и дитя,Разное,всего 12м,56.05,6.69%,838.3,,62 977.30,0.07
82,ЛУКОЙЛ,Нефть/Газ,9 месяцев 2024,458.47,6.62%,6925.0,17.12.2024,4 798 095.40,1.0
83,НКНХ-ао,Химия,всего 12м,6.16,6.54%,94.1,,167 329.08,0.5
84,НКНХ-ао,Химия,годовые 2024,6.16,6.54%,94.1,09.07.2025,167 329.08,0.5
85,Совкомбанк,Финансы и Банки,годовые 2024,0.9918,6.44%,15.41,08.07.2025,318 893.71,0.07
86,Россети Волга (МРСК Волги),Энергетика,всего 12м,0.0042091,6.35%,0.0663,,12 484.82,0.07
87,Россети Волга (МРСК Волги),Энергетика,годовые 2024,0.0042091,6.35%,0.0663,04.07.2025,12 484.82,0.07
88,"АКБ ""Приморье""",Финансы и Банки,II полугодие 2024,2000.0,6.29%,31800.0,06.05.2025,0.00,0.5
89,Fix Price,Розничная торговля,всего 12м,14.72,6.29%,234.2,,199 070.00,0.07
90,Ренессанс Страхование,Финансы и Банки,1 полугодие 2024,5.64,6.2%,90.9,23.12.2024,50 627.01,0.14
91,НоваБев Групп (Белуга Групп),Продовольствие,I полугодие 2024,325.9,6.2%,5258.0,29.09.2024,83 076.40,0.57
92,HENDERSON,Розничная торговля,всего 12м,41.07,6.06%,677.2,,27 388.98,0.07
93,Роснефть,Нефть/Газ,годовые 2024,32.17,6.06%,531.1,09.07.2025,5 628 692.24,0.71
94,Роснефть,Нефть/Газ,9 месяцев 2024,32.17,6.06%,531.1,11.01.2025,5 628 692.24,0.71
95,Соллерс,Машиностроение,годовые 2024,51.14,6%,852.5,05.07.2025,26 841.82,0.14
96,Компании MediumCap,Разное,всего 12м,1721.92,5.86%,1.0,,7 375 062.31,0.4
97,Таттелеком,Телекомы,годовые 2024,0.0502,5.7%,0.8795,27.05.2025,18 332.28,0.93
98,Займер,Финансы и Банки,II квартал 2024,10.12,5.63%,179.7,08.01.2025,17 970.00,0.07
99,Банк Санкт-Петербург (БСП),Финансы и Банки,I полугодие 2024,21.02,5.62%,374.32,09.10.2024,172 356.30,0.71
100,Магнит,Розничная торговля,9 месяцев 2024,330.47,5.58%,5919.5,11.01.2025,603 264.27,0.29
101,Норильский никель,Металлы и добыча,годовые 2024,7.12,5.49%,129.76,14.06.2025,1 983 555.44,0.5
102,ТМК,Металлы и добыча,годовые 2024,9.75,5.37%,181.5,04.06.2025,187 514.07,0.5
103,"АКБ ""Авангард""",Финансы и Банки,6 месяцев 2024,40.19,5.33%,754.0,25.09.2024,60 847.80,0.57
104,Компании SmallCap,Разное,всего 12м,1482.63,5.15%,1.0,,2 630 338.17,0.34
105,НОВАТЭК,Нефть/Газ,I полугодие 2024,54.5,5.05%,1078.6,10.10.2024,3 274 959.65,0.96
106,Компании MicroCap,Разное,всего 12м,361.03,4.97%,1.0,,394 259.98,0.36
107,Мать и дитя,Разное,I полугодие 2024,41.01,4.89%,838.3,07.10.2024,62 977.30,0.07
108,Татнефть-п,Нефть/Газ,I полугодие 2024,31.64,4.88%,648.3,11.10.2024,1 530 515.46,0.71
109,Татнефть-ао,Нефть/Газ,I полугодие 2024,31.64,4.8%,658.6,11.10.2024,1 530 515.46,0.71
110,Ренессанс Страхование,Финансы и Банки,годовые 2024,4.33,4.77%,90.9,05.07.2025,50 627.01,0.14
111,Татнефть-п,Нефть/Газ,III квартал 2024,30.65,4.73%,648.3,09.01.2025,1 530 515.46,0.71
112,Камаз,Машиностроение,годовые 2024,6.83,4.71%,145.1,16.07.2025,102 619.01,0.14
113,НОВАТЭК,Нефть/Газ,II полугодие 2024,50.62,4.69%,1078.6,26.03.2025,3 274 959.65,0.96
114,НЛМК,Металлы и добыча,годовые 2024,8.01,4.68%,171.1,27.05.2025,1 025 441.18,0.07
115,ММК,Металлы и добыча,II квартал 2024,2.49,4.68%,53.28,17.10.2024,595 424.17,0.07
116,Алроса,Металлы и добыча,I полугодие 2024,2.95,4.67%,63.2,18.10.2024,465 465.83,0.29
117,Татнефть-ао,Нефть/Газ,III квартал 2024,30.65,4.65%,658.6,09.01.2025,1 530 515.46,0.71
118,НЛМК,Металлы и добыча,III квартал 2024,7.9,4.62%,171.1,11.01.2025,1 025 441.18,0.07
119,Займер,Финансы и Банки,IV квартал 2024,8.25,4.59%,179.7,09.01.2025,17 970.00,0.07
120,НЛМК,Металлы и добыча,I квартал 2025,7.76,4.53%,171.1,23.06.2025,1 025 441.18,0.07
121,НЛМК,Металлы и добыча,II квартал 2024,7.73,4.52%,171.1,07.09.2024,1 025 441.18,0.07
122,Займер,Финансы и Банки,III квартал 2024,8.03,4.47%,179.7,08.01.2025,17 970.00,0.07
123,Алроса,Металлы и добыча,II полугодие 2024,2.77,4.38%,63.2,31.05.2025,465 465.83,0.29
124,HENDERSON,Розничная торговля,годовые 2024,29.23,4.32%,677.2,03.06.2025,27 388.98,0.07
125,Норильский никель,Металлы и добыча,III квартал 2024,5.57,4.3%,129.76,26.12.2024,1 983 555.44,0.5
126,Черкизово,Продовольствие,годовые 2024,197.14,4.28%,4602.0,07.04.2025,194 305.84,0.5
127,НКХП,Логистика,всего 12м,37.51,4.24%,885.0,,59 823.35,0.29
128,Мосэнерго,Энергетика,годовые 2024,0.1114,4.18%,2.66,09.07.2025,105 872.42,0.5
129,Куйбышевазот,Химия,всего 12м,22.7,4.16%,545.0,,129 682.55,0.43
130,Инарктика (РусАква),Продовольствие,9 месяцев 2024,33.64,4.11%,819.5,09.12.2024,72 014.91,0.57
131,Черкизово,Продовольствие,1 полугодие 2024,187.79,4.08%,4602.0,01.10.2024,194 305.84,0.5
132,Куйбышевазот-п,Химия,всего 12м,22.7,4.05%,560.5,,129 682.55,0.43
