,текущая доходность,доля от прибыли,индекс DSI,page_url,ticker
0,2.2%,0%,0.2,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
0,11.85%,70.3%,0.07,https://www.dohod.ru/ik/analytics/dividend/eutr,EUTR
0,9.75%,33.72%,0.5,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
0,11.13%,26.46%,0.5,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
0,8.15%,50%,0.29,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
0,13.52%,44.81%,0.29,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
0,9.35%,47.28%,0.07,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
0,8.12%,50%,0.29,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
0,6.06%,32.5%,0.5,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
0,3.91%,33.52%,0.43,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
0,9.07%,39.28%,0,https://www.dohod.ru/ik/analytics/dividend/mrkv,MRKV
0,8.16%,49.4%,0.5,https://www.dohod.ru/ik/analytics/dividend/gche,GCHE
0,0%,0%,0.35,https://www.dohod.ru/ik/analytics/dividend/ogkb,OGKB
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mrks,MRKS
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/elfv,ELFV
0,12.3%,45%,0.71,https://www.dohod.ru/ik/analytics/dividend/bspb,BSPB
0,8.12%,46.14%,0.14,https://www.dohod.ru/ik/analytics/dividend/reni,RENI
0,12.36%,4.19%,0.64,https://www.dohod.ru/ik/analytics/dividend/banep,BANEP
0,5.26%,0.9%,0.5,https://www.dohod.ru/ik/analytics/dividend/bisvp,BISVP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mrkz,MRKZ
0,3.15%,30%,0.14,https://www.dohod.ru/ik/analytics/dividend/tgkn,TGKN
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/rual,RUAL
0,1.99%,43.75%,0.29,https://www.dohod.ru/ik/analytics/dividend/akrn,AKRN
0,9.7%,50%,0.96,https://www.dohod.ru/ik/analytics/dividend/nvtk,NVTK
0,2.69%,30.55%,0,https://www.dohod.ru/ik/analytics/dividend/smlt,SMLT
0,11.5%,35.46%,0.29,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
0,7.84%,49.62%,0.29,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
0,0%,0%,0.2,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
0,5.11%,63.79%,0.5,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
0,2.14%,10.26%,0.14,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/upro,UPRO
0,3.17%,25.52%,0.43,https://www.dohod.ru/ik/analytics/dividend/selg,SELG
