,Год,Дивиденд (руб.),Изм. к пред. году,page_url,ticker
0,след 12m. (прогноз),0.52,+26.83%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
1,2023,0.41,,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
2,2022,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
3,2021,0.31,+138.46%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
4,2020,0.13,+18.18%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
5,2019,0.11,0%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
6,2018,0.11,-92.62%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
7,2017,1.49,+41.9%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
8,2016,1.05,+123.4%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
9,2015,0.47,-77.18%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
10,2014,2.06,+114.58%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
11,2013,0.96,+242.86%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
12,2012,0.28,+7.69%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
13,2011,0.26,+372.73%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
14,2010,0.055,,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
15,2009,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
16,2008,0.25,+420.83%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
17,2007,0.048,+71.43%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
18,2006,0.028,+7.69%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
19,2005,0.026,+40.54%,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
20,2004,0.0185,,https://www.dohod.ru/ik/analytics/dividend/afks,AFKS
0,след 12m. (прогноз),0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
1,2021,1.17,-66.38%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
2,2020,3.48,-80.89%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
3,2019,18.21,+9.3%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
4,2018,16.66,+62.06%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
5,2017,10.28,+20460%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
6,2016,0.05,0%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
7,2015,0.05,0%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
8,2014,0.05,0%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
9,2013,0.05,-99.84%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
10,2012,31.28,+19.34%,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
11,2011,26.21,,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
0,след 12m. (прогноз),19.22,+116.44%,https://www.dohod.ru/ik/analytics/dividend/eutr,EUTR
1,2023,8.88,,https://www.dohod.ru/ik/analytics/dividend/eutr,EUTR
0,след 12m. (прогноз),12.69,+38.68%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
1,2023,9.15,-21.51%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
2,2022,11.66,-54.17%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
3,2021,25.44,+115.53%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
4,2020,11.81,-48.23%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
5,2019,22.81,+64.78%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
6,2018,13.84,+106.47%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
7,2017,6.7,-0.6065%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
8,2016,6.74,-48.01%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
9,2015,12.97,+28.32%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
10,2014,10.11,+62.63%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
11,2013,6.22,+217.11%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
12,2012,1.96,+8.89%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
13,2011,1.8,-14.29%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
14,2010,2.1,,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
15,2009,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
16,2008,1.12,-50.88%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
17,2007,2.28,+108.24%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
18,2006,1.09,+71.81%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
19,2005,0.6373,+71.5%,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
20,2004,0.3716,,https://www.dohod.ru/ik/analytics/dividend/gmkn,GMKN
0,след 12m. (прогноз),0.1428,0%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
1,2024,0.1428,+1080.33%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
2,2023,0.0121,-93.27%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
3,2022,0.1799,+264.91%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
4,2021,0.0493,+93.64%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
5,2020,0.0255,-74.88%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
6,2019,0.1014,+220.49%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
7,2018,0.0316,+1.36%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
8,2017,0.0312,-75.94%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
9,2016,0.1297,+207.35%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
10,2015,0.0422,-29.37%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
11,2014,0.0597,-32.26%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
12,2013,0.0882,+252.8%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
13,2012,0.025,+1.47%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
14,2011,0.0246,+166.67%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
15,2010,0.0092389,,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
16,2009,0.0,,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
17,2008,0.0,,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
18,2007,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
19,2006,0.00177,,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
0,след 12m. (прогноз),18.67,+7.6%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
1,2024,17.35,+258.47%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
2,2023,4.84,,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
3,2022,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
4,2021,9.45,+19.17%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
5,2020,7.93,+2.99%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
6,2019,7.7,+40.77%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
7,2018,5.47,-46.21%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
8,2017,10.17,+43.04%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
9,2016,7.11,+83.72%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
10,2015,3.87,+62.61%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
11,2014,2.38,+95.08%,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
12,2013,1.22,,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
0,след 12m. (прогноз),100.0,0%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
1,2024,100.0,+28.21%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
2,2023,78.0,,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
3,2022,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
4,2021,39.0,-22%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
5,2020,50.0,-35.9%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
6,2019,78.0,0%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
7,2018,78.0,0%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
8,2017,78.0,0%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
9,2016,78.0,0%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
10,2015,78.0,+95%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
11,2014,40.0,+100%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
12,2013,20.0,0%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
13,2012,20.0,+33.33%,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
14,2011,15.0,,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
0,след 12m. (прогноз),0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
1,2019,232.0,+0.4329%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
2,2018,231.0,-0.8584%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
3,2017,233.0,+4.95%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
4,2016,222.0,+294.53%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
5,2015,56.27,-27.95%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
6,2014,78.1,,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
7,2013,0.0,,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
8,2012,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
9,2011,197.94,+184.4%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
10,2010,69.6,+245.24%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
11,2009,20.16,-57.09%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
12,2008,46.98,+18.13%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
13,2007,39.77,,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
14,2006,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
15,2005,11.78,-2.92%,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
16,2004,12.13,,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
0,след 12m. (прогноз),5.14,+86.83%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
1,2024,2.75,,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
2,2023,0.0,,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
3,2022,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
4,2021,8.93,+98.29%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
5,2020,4.5,-13.8%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
6,2019,5.23,-1.58%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
7,2018,5.31,+64.8%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
8,2017,3.22,+212.82%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
9,2016,1.03,+77.59%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
10,2015,0.58,0%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
11,2014,0.58,,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
12,2013,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
13,2012,0.28,-15.15%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
14,2011,0.33,-10.81%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
15,2010,0.37,,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
16,2009,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
17,2008,0.884,-32.47%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
18,2007,1.31,-54.07%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
19,2006,2.85,+335.11%,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
20,2005,0.655,,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
0,след 12m. (прогноз),0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
1,2019,232.0,+0.4329%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
2,2018,231.0,-0.8584%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
3,2017,233.0,+4.95%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
4,2016,222.0,+1920.02%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
5,2015,10.99,-27.98%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
6,2014,15.26,,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
7,2013,0.0,,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
8,2012,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
9,2011,197.94,,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
10,2010,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
11,2009,2.02,-57.02%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
12,2008,4.7,-46.29%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
13,2007,8.75,,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
14,2006,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
15,2005,1.82,+49.99%,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
16,2004,1.21,,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
0,след 12m. (прогноз),5.73,+183.86%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
1,2024,2.02,-46.42%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
2,2023,3.77,,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
3,2022,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
4,2021,18.33,+596.96%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
5,2020,2.63,-66.92%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
6,2019,7.95,-28.83%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
7,2018,11.17,+25.08%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
8,2017,8.93,+327.27%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
9,2016,2.09,+42.18%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
10,2015,1.47,0%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
11,2014,1.47,+32.43%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
12,2013,1.11,+9.9%,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
13,2012,1.01,,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
0,след 12m. (прогноз),2000.0,0%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
1,2024,2000.0,-16.67%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
2,2023,2400.0,-35.31%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
3,2022,3710.0,+311.76%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
4,2021,901.0,+11.85%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
5,2020,805.55,-19.45%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
6,2019,1000.0,+100%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
7,2018,500.0,0%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
8,2017,500.0,-37.5%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
9,2016,800.0,,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
10,2015,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
11,2014,1040.0,+10.64%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
12,2013,940.0,-41.25%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
13,2012,1600.0,+33.33%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
14,2011,1200.0,+236.13%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
15,2010,357.0,,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
16,2009,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
17,2008,700.0,-38.6%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
18,2007,1140.0,+70.91%,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
19,2006,667.0,,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
0,след 12m. (прогноз),22.62,+50.79%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
1,2024,15.0,-69.39%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
2,2023,49.0,+51.23%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
3,2022,32.4,+92.28%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
4,2021,16.85,,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
5,2020,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
6,2019,7.0,+75%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
7,2018,4.0,+33.33%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
8,2017,3.0,-37.5%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
9,2016,4.8,+60%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
10,2015,3.0,+50%,https://www.dohod.ru/ik/analytics/dividend/kazt,KAZT
