,Дата объявления дивиденда,Дата закрытия реестра,Год для учета дивиденда,Дивиденд,page_url,ticker
0,,09.07.2025 (прогноз),,7.5,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
1,,15.12.2024 (прогноз),,0.0,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
2,24.05.2024,09.07.2024,2024.0,6.22,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
3,26.05.2023,11.07.2023,2023.0,9.1,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
4,24.05.2022,11.07.2022,2022.0,3.97,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
5,06.08.2021,20.09.2021,2021.0,5.75,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
6,22.03.2021,06.05.2021,2021.0,3.36,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
7,16.03.2020,10.07.2020,2020.0,4.55,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
8,19.03.2019,06.05.2019,2019.0,7.79,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
9,03.05.2018,18.06.2018,2018.0,4.25,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
10,10.03.2017,24.04.2017,2017.0,5.07,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
11,22.03.2016,12.05.2016,2016.0,3.23,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
12,26.03.2015,19.05.2015,2015.0,1.01,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
13,25.03.2014,13.05.2014,2014.0,0.3458,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
14,19.03.2013,15.03.2013,2013.0,0.5353,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
15,02.05.2012,03.05.2012,2012.0,0.06,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
0,,01.12.2024 (прогноз),,0.0,https://www.dohod.ru/ik/analytics/dividend/rtkmp,RTKMP
1,,07.10.2024 (прогноз),,6.0,https://www.dohod.ru/ik/analytics/dividend/rtkmp,RTKMP
2,17.10.2023,01.12.2023,2023.0,5.45,https://www.dohod.ru/ik/analytics/dividend/rtkmp,RTKMP
3,31.05.2022,20.07.2022,2022.0,4.56,https://www.dohod.ru/ik/analytics/dividend/rtkmp,RTKMP
