,Акция,Сектор,Период,Выплата на акцию (прогноз),Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),"Капитализация, млн. руб.",DSI
0,Сургутнефтегаз-п,Нефть/Газ,годовые 2024,10.22,20.69%,49.41,18.07.2025,1 378 204.13,0.5
1,МКПАО ЮМГ (ЕМС),Разное,всего 12м,129.76,17.72%,732.2,,65 898.00,0.0
2,Магнит,Розничная торговля,всего 12м,989.86,17.22%,5747.0,,585 684.56,0.29
3,ЛУКОЙЛ,Нефть/Газ,всего 12м,1135.88,16.91%,6717.0,,4 653 979.32,1.0
4,Займер,Финансы и Банки,всего 12м,28.92,16.76%,172.6,,17 260.00,0.07
5,МТС,Телекомы,годовые 2024,37.93,16.7%,227.15,16.07.2025,520 506.75,0.57
6,МТС,Телекомы,всего 12м,37.93,16.7%,227.15,,520 506.75,0.57
7,Эталон,Строительство,годовые 2024,12.0,15.51%,77.36,08.07.2025,22 608.62,0.0
8,Транснефть-п,Нефть/Газ,всего 12м,214.68,15.47%,1388.0,,215 816.65,0.64
9,Транснефть-п,Нефть/Газ,годовые 2024,214.68,15.47%,1388.0,31.07.2025,215 816.65,0.64
10,Башнефть-п,Нефть/Газ,годовые 2024,244.49,15.21%,1607.5,12.07.2025,452 096.53,0.64
11,Совкомфлот,Нефть/Газ,всего 12м,15.9,14.85%,107.07,,254 290.60,0.14
12,ММК,Металлы и добыча,всего 12м,7.55,14.83%,50.9,,568 773.40,0.07
13,Россети Центр и Приволжье (МРСК ЦП),Энергетика,всего 12м,0.0434,14.57%,0.2979,,33 572.68,0.29
14,Россети Центр и Приволжье (МРСК ЦП),Энергетика,годовые 2024,0.0434,14.57%,0.2979,28.06.2025,33 572.68,0.29
15,Татнефть-п,Нефть/Газ,всего 12м,88.15,14.18%,621.7,,1 477 571.19,0.71
16,Татнефть-ао,Нефть/Газ,всего 12м,88.15,13.86%,636.1,,1 477 571.19,0.71
17,ЛСР,Строительство,всего 12м,100.0,13.59%,736.0,,75 830.24,0.29
18,ЛСР,Строительство,годовые 2024,100.0,13.59%,736.0,02.05.2025,75 830.24,0.29
19,Россети Московский регион (МОЭСК),Энергетика,всего 12м,0.1586,13.59%,1.17,,56 865.53,0.5
20,Россети Московский регион (МОЭСК),Энергетика,годовые 2024,0.1586,13.59%,1.17,05.07.2025,56 865.53,0.5
21,Россети Центр (МРСК Центра),Энергетика,всего 12м,0.0596,13.08%,0.456,,52 824.06,0.29
22,Россети Центр (МРСК Центра),Энергетика,годовые 2024,0.0596,13.08%,0.456,04.07.2025,52 824.06,0.29
23,Сбербанк-п,Финансы и Банки,годовые 2024,36.86,12.75%,289.12,11.07.2025,6 541 779.49,0.29
24,Сбербанк-ао,Финансы и Банки,годовые 2024,36.86,12.73%,289.65,11.07.2025,6 541 779.49,0.29
25,Роснефть,Нефть/Газ,всего 12м,64.34,12.57%,511.65,,5 422 557.68,0.71
26,Банк Санкт-Петербург (БСП),Финансы и Банки,всего 12м,47.31,12.57%,376.46,,173 285.19,0.71
27,Инарктика (РусАква),Продовольствие,всего 12м,98.15,12.5%,785.0,,68 983.17,0.57
28,Компании стабильных дивидендов,Разное,всего 12м,325.98,12.5%,1.0,,19 532 695.65,0.83
29,НоваБев Групп (Белуга Групп),Продовольствие,всего 12м,617.59,12.11%,5099.0,,80 564.20,0.57
30,Газпром нефть,Нефть/Газ,всего 12м,81.1,11.91%,681.05,,3 229 062.12,0.71
31,IRDIV. Индекс дивидендных акций,Индексы,всего 12м,187.09,11.83%,1.0,,23 134 714.48,0.6
32,МКПАО ЮМГ (ЕМС),Разное,годовые 2023,84.62,11.56%,732.2,27.09.2024,65 898.00,0.0
33,Магнит,Розничная торговля,годовые 2024,659.4,11.47%,5747.0,15.07.2025,585 684.56,0.29
34,Русагро,Продовольствие,I полугодие 2024,147.03,11.44%,1285.6,10.09.2024,70 486.23,0.0
35,Русагро,Продовольствие,всего 12м,147.03,11.44%,1285.6,,70 486.23,0.0
36,МТС-Банк,Финансы и Банки,годовые 2024,217.64,11.32%,1922.5,01.05.2025,66 574.37,0.0
37,Ренессанс Страхование,Финансы и Банки,всего 12м,9.97,11.05%,90.26,,50 270.56,0.14
38,Северсталь,Металлы и добыча,всего 12м,156.4,11.04%,1416.2,,1 186 377.17,0.07
39,НМТП,Логистика,всего 12м,1.0,10.99%,9.11,,175 360.62,0.29
40,НМТП,Логистика,годовые 2024,1.0,10.99%,9.11,10.07.2025,175 360.62,0.29
41,Компании LargeCap,Разное,всего 12м,4059.09,10.41%,1.0,,52 086 844.65,0.48
42,НОВАТЭК,Нефть/Газ,всего 12м,105.12,10.15%,1035.6,,3 144 398.49,0.96
43,Россети Ленэнерго-п,Энергетика,годовые 2024,21.42,10.09%,212.35,02.07.2025,162 066.65,0.5
44,Россети Ленэнерго-п,Энергетика,всего 12м,21.42,10.09%,212.35,,162 066.65,0.5
45,ЛУКОЙЛ,Нефть/Газ,годовые 2024,677.42,10.09%,6717.0,07.05.2025,4 653 979.32,1.0
46,Норильский никель,Металлы и добыча,всего 12м,12.69,9.81%,129.38,,1 977 746.63,0.5
47,Русгидро,Энергетика,годовые 2024,0.0591,9.78%,0.6038,12.07.2025,268 566.24,0.35
48,ТМК,Металлы и добыча,всего 12м,15.96,9.55%,167.14,,175 831.28,0.5
49,Интер РАО ЕЭС,Энергетика,годовые 2024,0.3685,9.52%,3.87,03.06.2025,404 236.80,0.64
50,ЕвроТранс,Нефть/Газ,годовые 2024,10.66,9.49%,112.3,09.07.2025,17 872.40,0.14
51,Евротранс,Нефть/Газ,всего 12м,10.66,9.49%,112.3,,17 872.40,0.14
52,Индекс МосБиржи,Разное,всего 12м,225.27,9.43%,2942.68,,44 724 197.79,0.44
