,текущая доходность,доля от прибыли,индекс DSI,page_url,ticker
0,7.93%,50%,0.57,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
0,8.24%,3.65%,0.57,https://www.dohod.ru/ik/analytics/dividend/rtkmp,RTKMP
0,15.21%,3.74%,0.64,https://www.dohod.ru/ik/analytics/dividend/banep,BANEP
0,0.85%,0.01%,0.39,https://www.dohod.ru/ik/analytics/dividend/bspbp,BSPBP
0,1.07%,0.11%,0.54,https://www.dohod.ru/ik/analytics/dividend/kzosp,KZOSP
0,9.09%,68.74%,0.5,https://www.dohod.ru/ik/analytics/dividend/phor,PHOR
0,11.05%,50%,0.14,https://www.dohod.ru/ik/analytics/dividend/reni,RENI
0,0%,0%,0.2,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
0,6.05%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/hnfg,HNFG
0,2.86%,2.58%,0.86,https://www.dohod.ru/ik/analytics/dividend/sngs,SNGS
0,1.93%,16.67%,0,https://www.dohod.ru/ik/analytics/dividend/deli,DELI
0,12.57%,50%,0.71,https://www.dohod.ru/ik/analytics/dividend/rosn,ROSN
0,6.58%,40%,0.07,https://www.dohod.ru/ik/analytics/dividend/mrkv,MRKV
0,12.11%,94.75%,0.57,https://www.dohod.ru/ik/analytics/dividend/belu,BELU
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/gltr,GLTR
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mtlrp,MTLRP
0,9.33%,50%,0.29,https://www.dohod.ru/ik/analytics/dividend/alrs,ALRS
0,3.43%,50%,0,https://www.dohod.ru/ik/analytics/dividend/ugld,UGLD
0,6.4%,64.98%,0.07,https://www.dohod.ru/ik/analytics/dividend/mdmg,MDMG
0,8.55%,49.4%,0.5,https://www.dohod.ru/ik/analytics/dividend/gche,GCHE
0,6.18%,50%,0.14,https://www.dohod.ru/ik/analytics/dividend/svav,SVAV
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/tgka,TGKA
0,9.23%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/leas,LEAS
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mrks,MRKS
0,13.59%,44.81%,0.29,https://www.dohod.ru/ik/analytics/dividend/lsrg,LSRG
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/enpg,ENPG
0,12.75%,2.21%,0.29,https://www.dohod.ru/ik/analytics/dividend/sberp,SBERP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/upro,UPRO
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/pikk,PIKK
0,4.89%,25%,0.14,https://www.dohod.ru/ik/analytics/dividend/kmaz,KMAZ
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/rasp,RASP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mgts,MGTS
0,15.47%,10.72%,0.64,https://www.dohod.ru/ik/analytics/dividend/trnfp,TRNFP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/elfv,ELFV
0,1.75%,49.92%,0.2,https://www.dohod.ru/ik/analytics/dividend/gazp,GAZP
0,6.89%,18.05%,0.5,https://www.dohod.ru/ik/analytics/dividend/nknc,NKNC
0,3.45%,25.52%,0.43,https://www.dohod.ru/ik/analytics/dividend/selg,SELG
0,0%,0%,0.35,https://www.dohod.ru/ik/analytics/dividend/ogkb,OGKB
0,7.5%,35.14%,0.79,https://www.dohod.ru/ik/analytics/dividend/krsb,KRSB
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mrkk,MRKK
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mgtsp,MGTSP
0,4.32%,50%,0.5,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
0,11.91%,51.25%,0.71,https://www.dohod.ru/ik/analytics/dividend/sibn,SIBN
0,2.64%,10%,0.29,https://www.dohod.ru/ik/analytics/dividend/krknp,KRKNP
0,1.66%,21.3%,0.07,https://www.dohod.ru/ik/analytics/dividend/elmt,ELMT
0,11.32%,50%,0,https://www.dohod.ru/ik/analytics/dividend/mbnk,MBNK
0,9.55%,50%,0.5,https://www.dohod.ru/ik/analytics/dividend/trmk,TRMK
0,14.85%,50%,0.14,https://www.dohod.ru/ik/analytics/dividend/flot,FLOT
0,16.76%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/zaym,ZAYM
0,8.01%,50%,0.29,https://www.dohod.ru/ik/analytics/dividend/moex,MOEX
0,10.15%,50%,0.96,https://www.dohod.ru/ik/analytics/dividend/nvtk,NVTK
0,3.8%,44.99%,0.29,https://www.dohod.ru/ik/analytics/dividend/posi,POSI
0,8.17%,85.21%,0.07,https://www.dohod.ru/ik/analytics/dividend/dias,DIAS
0,15.51%,138.22%,0,https://www.dohod.ru/ik/analytics/dividend/etln,ETLN
0,20.69%,7.09%,0.5,https://www.dohod.ru/ik/analytics/dividend/sngsp,SNGSP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/tcsg,TCSG
0,6.45%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/fixp,FIXP
0,2.93%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/wush,WUSH
0,6.29%,32.5%,0.5,https://www.dohod.ru/ik/analytics/dividend/prmb,PRMB
0,14.83%,71.63%,0.07,https://www.dohod.ru/ik/analytics/dividend/magn,MAGN
0,10.09%,10.19%,0.5,https://www.dohod.ru/ik/analytics/dividend/lsngp,LSNGP
0,1.63%,40%,0.89,https://www.dohod.ru/ik/analytics/dividend/lvhk,LVHK
0,7.66%,30%,0.29,https://www.dohod.ru/ik/analytics/dividend/mrku,MRKU
0,13.59%,30%,0.5,https://www.dohod.ru/ik/analytics/dividend/msrs,MSRS
0,0.95%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/astr,ASTR
0,8.84%,2.45%,0.5,https://www.dohod.ru/ik/analytics/dividend/nkncp,NKNCP
0,14.57%,33%,0.29,https://www.dohod.ru/ik/analytics/dividend/mrkp,MRKP
0,14.18%,4.45%,0.71,https://www.dohod.ru/ik/analytics/dividend/tatnp,TATNP
0,9.49%,56%,0.14,https://www.dohod.ru/ik/analytics/dividend/eutr,EUTR
0,2.12%,25%,0.71,https://www.dohod.ru/ik/analytics/dividend/abrd,ABRD
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/sgzh,SGZH
