,TRADE_CODE,issue_date,stopped_date
0,RU000A101Z74,2020-07-31,
1,RU000A102DB2,2020-11-20,
2,RU000A102GJ8,2020-12-11,
3,RU000A102LU5,2020-12-28,
4,RU000A104B46,2021-12-27,
5,RU000A105GW4,2022-11-24,
6,RU000A1064G3,2023-04-18,
7,CBOM,2015-06-22,
8,RU000A10A6J1,2024-11-28,
9,ALRS,2011-11-29,
10,RU000A108TV3,2024-06-26,
11,RU000A109L49,2024-09-23,
12,RU000A10DY92,2025-12-23,
13,CASH,2024-11-07,
14,RU000A1035Y6,2021-06-10,
15,RU000A0JRJB8,2011-06-07,
16,RU000A0JRJL7,2011-06-07,
17,RU000A0JS4J1,2012-03-02,
18,RU000A0JS4K9,2012-03-02,
19,RU000A0JS4L7,2012-03-02,
20,SILA,2025-11-05,
21,SMCF,2025-02-17,
22,SUGB,2020-09-25,
23,MKBD,2021-07-28,
24,SBMX,2018-09-17,
25,SBGB,2019-01-25,
26,SBCB,2019-02-08,
27,SBRB,2019-09-06,
28,SBRI,2020-09-24,
29,SBRS,2021-06-09,
30,SBPS,2021-06-09,
31,SBDS,2021-06-09,
32,STME,2021-06-09,
33,SAFE,2021-06-09,
34,SBMM,2021-10-05,
35,SBHI,2021-11-18,
36,SBGD,2022-09-06,
37,SBCN,2023-01-16,
38,SBBY,2023-07-21,
39,SBSC,2023-10-10,
40,SBFR,2024-01-31,
41,SBLB,2024-04-05,
42,SIPO,2024-07-22,
43,SBBC,2025-04-24,
44,FLOW,2025-07-10,
45,SPRN,2026-03-26,
46,OBLG,2019-02-21,
47,LQDT,2020-01-20,
48,EQMX,2020-03-02,
49,GOLD,2020-06-08,
50,ESGE,2021-09-27,
51,CNYM,2023-12-27,
52,SCFT,2022-02-02,
53,SCLI,2024-07-22,
54,BCSB,2021-03-15,
55,BCSD,2024-07-25,
56,BCSR,2024-11-15,
57,BCSW,2025-04-11,
58,BCSG,2025-05-22,
59,BCSE,2025-09-05,
60,INGO,2021-07-28,
61,INFL,2021-12-20,
62,YUAN,2023-05-19,
63,VTBR,2007-05-28,
64,RU000A10ENU1,2026-03-26,
65,RU000A104636,,
66,RU000A10AC75,2024-12-17,
67,RU000A10BW70,2025-06-27,
68,RU000A10DEN7,2025-11-14,
69,RU000A10DWQ2,2025-12-18,
70,RU000A1024L7,2020-09-17,
71,RU000A10DZL6,2025-12-26,
72,RU000A10DZN2,2025-12-26,
73,RU000A10DLP7,2025-11-27,
74,RU000A0ZZDB0,2018-07-24,
75,RU000A107W63,2024-03-11,
76,RU000A107EA1,2023-12-20,
77,RU000A106JX4,2023-07-14,
78,RU000A1064L3,2023-04-27,
79,RU000A105KW6,2022-12-07,
80,RU000A105EV1,2022-11-11,
81,RU000A1057B8,2022-09-19,
82,RU000A104TQ2,2022-06-01,
83,RU000A0ZYKJ1,2017-12-15,
84,RU000A102A15,2020-10-27,
85,RU000A102K88,2020-12-23,
86,MDMG,2020-11-09,
87,GEMC,2021-07-15,
88,VKCO,2020-07-02,
89,OZON,2020-11-24,
90,RU000A10EXZ9,2026-04-24,
91,LENT,2021-12-01,
92,RUAL,2015-03-30,
93,T,2019-10-28,
94,HEAD,2024-08-16,
95,CNRU,2025-02-07,
96,ENPG,2020-02-18,
97,YDEX,2024-07-08,
98,RU000A10AAU6,2024-12-12,
99,RU000A10D4D6,2025-10-17,
100,RU000A102KN2,2020-12-23,
101,RU000A104BC0,2021-12-23,
102,RU000A1011B5,2019-11-14,
103,RU000A10DJA3,2025-11-20,
104,RU000A102DS6,2020-11-24,
105,RU000A1043K9,2021-11-23,
106,RU000A0ZYKH5,2017-12-14,
107,RU000A10DWF5,2025-12-18,
108,RU000A103DN5,2021-07-13,
109,RU000A106FT0,2023-07-04,
110,RU000A10AC91,2024-12-17,
111,RU000A10BV22,2025-06-24,
112,RU000A10CSP4,2025-09-22,
113,RU000A10BP38,2025-05-27,
114,RU000A100CN3,2019-05-22,
115,RU000A1010D3,2019-11-11,
116,RU000A101P27,2020-05-20,
117,RU000A1033B9,2021-05-17,
118,RU000A109L72,2024-09-24,
119,RU000A10DQB6,2025-12-08,
120,RU000A10DQA8,2025-12-08,
121,XS0767473852,2012-04-04,
122,XS0971721963,2013-09-16,
123,RU000A0JWHA4,2016-05-27,
124,RU000A0JXTS9,2017-06-23,
125,RU000A0JXU14,2017-06-23,
126,RU000A0ZYYN4,2018-03-21,
127,RU000A1006S9,2019-03-28,
128,RU000A10A810,2024-11-27,
129,RU000A10A851,2024-06-23,
130,RU000A10A869,2024-06-24,
131,RU000A10A8A6,2024-09-21,
132,RU000A10A8E8,2024-09-30,
133,RU000A10A7Y8,2024-09-28,
134,RU000A10A802,2024-10-04,
135,RU000A10A877,2024-09-16,
136,RU000A10A844,2024-06-23,
137,RU000A102CK5,2020-11-20,
138,RU000A102CL3,2020-11-20,
139,RU000A1034K8,2021-05-27,
140,RU000A10A828,2024-11-20,
141,RU000A10A836,2024-11-20,
142,RU000A10A893,2024-05-27,
143,SU26207RMFS9,2012-02-22,
144,SU26212RMFS9,2013-01-23,
145,SU26218RMFS6,2015-10-28,
146,SU26219RMFS4,2016-06-29,
147,SU26221RMFS0,2017-02-15,
148,SU26224RMFS4,2018-02-21,
149,SU26225RMFS1,2018-02-21,
150,SU26226RMFS9,2018-12-19,
151,SU26228RMFS5,2019-04-24,
152,SU26230RMFS1,2019-06-05,
153,SU26231RMFS9,2019-07-26,
154,SU26232RMFS7,2019-12-04,
155,SU26233RMFS5,2020-02-19,
156,SU26235RMFS0,2020-10-14,
157,SU26236RMFS8,2020-11-11,
158,SU26237RMFS6,2021-06-16,
159,SU26238RMFS4,2021-06-16,
160,SU26239RMFS2,2021-06-16,
161,SU26240RMFS0,2021-06-30,
162,SU26241RMFS8,2022-11-16,
163,SU26242RMFS6,2023-01-25,
164,SU26243RMFS4,2023-06-21,
165,SU26244RMFS2,2023-10-25,
166,SU26245RMFS9,2024-05-15,
167,SU26246RMFS7,2024-05-15,
168,SU26247RMFS5,2024-05-15,
169,SU26248RMFS3,2024-05-15,
170,SU26249RMFS1,2025-06-25,
171,SU26250RMFS9,2025-06-25,
172,SU26251RMFS7,2025-08-27,
173,SU26252RMFS5,2025-10-22,
174,SU26253RMFS3,2025-10-22,
175,SU26254RMFS1,2025-10-22,
176,SU29007RMFS0,2014-12-31,
177,SU29008RMFS8,2014-12-31,
178,SU29009RMFS6,2014-12-31,
179,SU29010RMFS4,2014-12-31,
180,SU29013RMFS8,2020-04-08,
181,SU29015RMFS3,2020-09-23,
182,SU29016RMFS1,2020-09-23,
183,SU29017RMFS9,2020-10-14,
184,SU29018RMFS7,2020-10-28,
185,SU29019RMFS5,2020-10-28,
186,SU29020RMFS3,2020-11-11,
187,SU29021RMFS1,2022-10-19,
188,SU29022RMFS9,2022-11-16,
189,SU29023RMFS7,2022-12-07,
190,SU29024RMFS5,2023-05-03,
191,SU29025RMFS2,2023-10-04,
192,SU29026RMFS0,2024-12-04,
193,SU29027RMFS8,2024-12-11,
194,SU29028RMFS6,2025-10-22,
195,SU29029RMFS4,2025-10-22,
196,SU46012RMFS9,2003-02-14,
197,SU46020RMFS2,2006-02-15,
198,SU46023RMFS6,2011-09-30,
199,SU52002RMFS1,2018-03-21,
200,SU52003RMFS9,2020-08-12,
201,SU52004RMFS7,2021-09-08,
202,SU52005RMFS4,2023-03-15,
203,US78307AAE38,1998-06-24,
204,XS0088543193,1998-06-24,
205,US78307ACZ49,2000-08-25,
206,XS0114288789,2000-08-25,
207,RU000A10DWW0,2025-12-19,
208,RU000A0ZZ9P8,2018-06-14,
209,RU000A1020L5,2020-08-11,
210,RU000A0ZZQH9,2018-10-25,
211,RU000A1016N9,2019-12-17,
212,RU000A101Z17,2020-07-30,
213,RU000A102CT6,2020-11-18,
214,RU000A102H34,2020-12-15,
215,RU000A102FV5,2020-12-08,
216,RU000A102L61,2020-12-25,
217,RU000A102L79,2020-12-25,
218,RU000A1099S4,2024-08-23,
219,RU000A10ABC2,2024-12-13,
220,RU000A10DG60,2025-11-18,
221,RU000A10DSG1,2025-12-12,
222,RU000A1043E2,2021-11-23,
223,RU000A107B19,2023-12-01,
224,RU000A102CR0,2020-11-17,
225,RU000A102G35,2020-12-08,
226,RU000A0JWHW8,2016-05-30,
227,RU000A0ZYH93,2017-11-29,
228,RU000A100WF7,2019-10-10,
229,RU000A0JX3M0,2016-12-28,
230,RU000A0JXRM6,2017-05-26,
231,RU000A0ZYLX0,2017-12-26,
232,RU000A0ZYL89,2017-12-20,
233,RU000A1019A0,2019-12-27,
234,RU000A0ZZNW5,2018-10-08,
235,RU000A101JD7,2020-03-18,
236,RU000A0ZZCH9,2018-07-11,
237,RU000A0ZZV86,2018-11-26,
238,RU000A0ZZZ58,2018-12-21,
239,RU000A0ZZZ09,2018-12-20,
240,RU000A100DQ4,2019-05-29,
241,RU000A100ZB9,2019-10-30,
242,RU000A100YY4,2019-10-25,
243,RU000A1016B4,2019-12-13,
244,RU000A1018T2,2019-12-25,
245,RU000A101U95,2020-06-26,
246,RU000A101TD6,2020-06-18,
247,RU000A102AP8,2020-10-30,
248,RU000A102D46,2020-11-19,
249,RU000A102GV3,2020-12-11,
250,RU000A102JB9,2020-12-18,
251,RU000A102GD1,2020-12-10,
252,RU000A102K13,2020-12-21,
253,RU000A102L87,2020-12-25,
254,RU000A102L53,2020-12-24,
255,RU000A103125,2021-04-22,
256,RU000A1031K4,2021-04-23,
257,RU000A103N43,2021-09-07,
258,RU000A103W42,2021-10-18,
259,RU000A103YG5,2021-10-28,
260,RU000A103YK7,2021-10-29,
261,RU000A1041Q0,2021-11-17,
262,RU000A104511,2021-11-26,
263,RU000A104B79,2021-12-23,
264,RU000A104AM1,2021-12-21,
265,RU000A104C45,2021-12-24,
266,RU000A104UV0,2022-06-03,
267,RU000A104X32,2022-07-01,
268,RU000A105344,2022-08-12,
269,RU000A105898,2022-09-22,
270,RU000A1058R2,2022-09-29,
271,RU000A105AV9,2022-10-18,
272,RU000A105CB7,2022-10-28,
273,RU000A105H23,2022-11-23,
274,RU000A105JF3,2022-11-30,
275,RU000A105LN3,2022-12-12,
276,RU000A105NN9,2022-12-22,
277,RU000A105NY6,2022-12-23,
278,RU000A105NP4,2022-12-22,
279,RU000A105NZ3,2022-12-23,
280,RU000A105P72,2022-12-26,
281,RU000A1065R7,2023-04-26,
282,RU000A106FM5,2023-06-29,
283,RU000A106HE8,2023-07-07,
284,RU000A106YR5,2023-09-29,
285,RU000A1074A5,2023-10-23,
286,RU000A107G55,2023-12-22,
287,RU000A107GL3,2023-12-25,
288,RU000A107EQ7,2023-12-19,
289,RU000A107GM1,2023-12-25,
290,RU000A107SY1,2024-02-16,
291,RU000A108GC0,2024-05-22,
292,RU000A1093G2,2024-07-26,
293,RU000A109L98,2024-09-23,
294,RU000A109NH3,2024-09-30,
295,RU000A109MG7,2024-09-26,
296,RU000A109NG5,2024-09-30,
297,RU000A109NJ9,2024-09-30,
298,RU000A10AQC0,2025-01-27,
299,RU000A10AQE6,2025-01-27,
300,RU000A10BP53,2025-05-27,
301,RU000A10BVS4,2025-06-26,
302,RU000A10C1N2,2025-07-11,
303,RU000A10C1P7,2025-07-11,
304,RU000A10C8J5,2025-08-01,
305,RU000A10DEA4,2025-11-13,
306,RU000A10DX10,2025-12-19,
307,RU000A10DWX8,2025-12-19,
308,RU000A10DYJ3,2025-12-24,
309,RU000A10EL21,2026-03-17,
310,RU000A10EQG3,2026-03-31,
311,RU000A10B0J3,2025-03-06,
312,RU000A10DHT7,2025-11-19,
313,RU000A1075S4,2023-11-02,
314,RU000A107AJ0,2023-12-05,
315,RU000A107WL0,2024-03-12,
316,RU000A108LU2,2024-06-07,
317,RU000A109KC0,2025-11-26,
318,RU000A10AHA3,2024-12-26,
319,RU000A10AT27,2025-02-28,
320,RU000A10AT35,2025-03-24,
321,RU000A10BUK3,2025-06-26,
322,RU000A10C5Y0,2025-07-28,
323,RU000A10CSX8,2025-09-24,
324,RU000A10DYP0,2025-12-25,
325,RU000A10E6Q2,2026-02-05,
326,RU000A10E6V2,2026-02-03,
327,RU000A10EL70,2026-04-21,
328,RU000A10EL88,2026-04-22,
329,RU000A0JVF98,2015-05-29,
330,RU000A0JVLA8,2015-07-08,
331,RSHU,2019-12-12,
332,ESGR,2020-06-29,
333,PRIE,2021-04-26,
334,RU000A10BPQ0,2025-05-29,
335,RU000A10DTV8,2025-12-17,
336,RU000A10ETE2,2026-04-13,
337,RU000A105LY0,2022-12-21,
338,RU000A1068T7,2023-05-26,
339,RU000A106P97,2023-08-31,
340,RU000A107TK8,2024-02-28,
341,RU000A107TL6,2024-02-28,
342,RU000A109N54,2024-09-27,
343,RU000A10DBE2,2025-10-30,
344,RU000A10F140,2026-04-30,
345,TUSD,2019-12-09,
346,TEUR,2019-12-09,
347,TRUR,2019-12-09,
348,TGLD,2020-08-26,
349,TMOS,2020-08-26,
350,TBRU,2021-07-12,
351,TBEU,2021-11-23,
352,TMON,2023-07-12,
353,TDIV,2023-11-23,
354,TLCB,2023-11-23,
355,TITR,2024-05-20,
356,TPAY,2024-08-12,
357,TOFZ,2024-12-09,
358,TRND,2025-03-24,
359,AKMB,2020-06-02,
360,AKME,2020-12-18,
361,AKQU,2021-10-04,
362,AKGD,2021-12-21,
363,AKMM,2022-07-14,
364,AKUP,2024-01-31,
365,AKIE,2024-09-26,
366,AKAI,2024-10-16,
367,AKFB,2024-10-23,
368,AKHT,2024-11-11,
369,AKPP,2025-02-26,
370,AKMP,2025-02-25,
371,AKBC,2025-04-07,
372,AKGP,2025-06-25,
373,AKFN,2025-09-10,
374,AKCN,2025-09-10,
375,AMRE,2021-04-15,
376,AMRH,2021-08-12,
377,AMNR,2024-01-16,
378,AMNY,2024-06-24,
379,AMFL,2024-12-27,
380,AMGB,2024-12-27,
381,AMGL,2025-07-15,
382,DIVD,2021-01-19,
383,GROD,2021-06-16,
384,BOND,2022-08-18,
385,GOOD,2024-12-11,
386,BNDB,2025-04-22,
387,BNDC,2025-04-29,
388,BNDA,2025-05-15,
389,WILD,2025-05-22,
390,FMMM,2024-10-04,
391,FMBR,2025-10-21,
392,FINC,2024-09-02,
393,PSMM,2024-05-27,
394,PSRB,2024-11-20,
395,PSGM,2025-04-15,
396,PSRE,2025-07-18,
397,VDOR,2026-04-21,
398,RU000A0JT4S1,2022-08-19,
399,RU000A102N77,2021-02-10,
400,BSPB,2008-03-19,
401,RU000A1033Z8,2021-05-27,
402,AQUA,2010-04-16,
403,RU000A107W48,2024-03-01,
404,RU000A10B8R9,2025-04-07,
405,RU000A10B8P3,2025-04-07,
406,RU000A10DHV3,2025-11-19,
407,AFKS,2007-12-12,
408,RU000A10B024,2025-03-04,
409,RU000A10BPZ1,2025-05-30,
410,RU000A10BY94,2025-07-02,
411,RU000A0JWYQ5,2016-11-11,
412,RU000A10CU48,2025-09-26,
413,RU000A0JWZY6,2016-11-25,
414,RU000A10CU55,2025-09-26,
415,RU000A0JXN21,2017-04-07,
416,RU000A10DPW4,2025-12-04,
